item_title,orders_containing,units_sold,avg_price,classification,reason,classification_v3,v3_reason,was_mystery
Black Ankle Compression Socks,54490,96625,27.26,SOLID,"only color+type tokens: ['black', 'ankle', 'compression', 'socks']",SOLID,unchanged from v2,
White Ankle Compression Socks,47887,87381,27.44,SOLID,"only color+type tokens: ['white', 'ankle', 'compression', 'socks']",SOLID,unchanged from v2,
Black Compression Socks,47594,83147,27.3,SOLID,"only color+type tokens: ['black', 'compression', 'socks']",SOLID,unchanged from v2,
Black EasyStretch™ Socks,30105,59636,27.88,SOLID,"only color+type tokens: ['black', 'easystretch', 'socks']",SOLID,unchanged from v2,
Navy Blue Compression Socks,22954,30553,27.69,SOLID,"only color+type tokens: ['navy', 'blue', 'compression', 'socks']",SOLID,unchanged from v2,
2-pack Mystery EasyStretch™ Socks Gift,29776,30162,54.28,AMBIGUOUS,mystery — could be either,PATTERN,mystery grab-bag (no explicit theme),yes
Northern Lights Compression Socks,26414,29673,28.07,PATTERN,"matched: ['northern', 'lights']",PATTERN,unchanged from v2,
Gray Ankle Compression Socks,21544,28700,27.81,SOLID,"only color+type tokens: ['gray', 'ankle', 'compression', 'socks']",SOLID,unchanged from v2,
Gray Compression Socks,19816,26911,26.76,SOLID,"only color+type tokens: ['gray', 'compression', 'socks']",SOLID,unchanged from v2,
Navy Blue Ankle Compression Socks,20066,26163,27.81,SOLID,"only color+type tokens: ['navy', 'blue', 'ankle', 'compression', 'socks']",SOLID,unchanged from v2,
Mystery EasyStretch™ Socks Gift,23653,23977,27.84,AMBIGUOUS,mystery — could be either,PATTERN,mystery grab-bag (no explicit theme),yes
White Compression Socks,13549,21609,27.31,SOLID,"only color+type tokens: ['white', 'compression', 'socks']",SOLID,unchanged from v2,
Butterfly Ankle Compression Socks,18524,21044,27.27,PATTERN,matched: ['butterfly'],PATTERN,unchanged from v2,
Navy Blue EasyStretch™ Socks,14570,20744,28.35,SOLID,"only color+type tokens: ['navy', 'blue', 'easystretch', 'socks']",SOLID,unchanged from v2,
Butterfly Compression Socks,18325,20051,27.23,PATTERN,matched: ['butterfly'],PATTERN,unchanged from v2,
White EasyStretch™ Socks,9134,17713,28.87,SOLID,"only color+type tokens: ['white', 'easystretch', 'socks']",SOLID,unchanged from v2,
Northern Lights EasyStretch™ Socks,14484,16450,27.54,PATTERN,"matched: ['northern', 'lights']",PATTERN,unchanged from v2,
Purple Moon Compression Socks,14849,16163,27.62,PATTERN,matched: ['moon'],PATTERN,unchanged from v2,
Royal Purple Ankle Compression Socks,12971,15440,27.21,SOLID,"only color+type tokens: ['royal', 'purple', 'ankle', 'compression', 'socks']",SOLID,unchanged from v2,
Northern Lights Ankle Compression Socks,13022,15044,27.96,PATTERN,"matched: ['northern', 'lights']",PATTERN,unchanged from v2,
Gray EasyStretch™ Socks,9981,14794,28.12,SOLID,"only color+type tokens: ['gray', 'easystretch', 'socks']",SOLID,unchanged from v2,
Floral Ankle Compression Socks,12864,14288,26.82,PATTERN,matched: ['floral'],PATTERN,unchanged from v2,
Purple Moon EasyStretch™ Socks,12272,13632,27.93,PATTERN,matched: ['moon'],PATTERN,unchanged from v2,
Jellyfish Blues Compression Socks,12509,13101,26.61,PATTERN,matched: ['jellyfish'],PATTERN,unchanged from v2,
Floral Compression Socks,12087,13001,26.74,PATTERN,matched: ['floral'],PATTERN,unchanged from v2,
Ankle Compression Buy 1 Get 2 Free Mystery Offer,12460,12572,27.7,AMBIGUOUS,mystery — could be either,PATTERN,mystery grab-bag (no explicit theme),yes
White Ankle Socks,6554,12144,27.39,SOLID,"only color+type tokens: ['white', 'ankle', 'socks']",SOLID,unchanged from v2,
Black Ankle Socks,6860,12022,27.42,SOLID,"only color+type tokens: ['black', 'ankle', 'socks']",SOLID,unchanged from v2,
Cherry Blossoms Ankle Compression Socks,10940,11961,26.47,PATTERN,"matched: ['cherry', 'blossoms']",PATTERN,unchanged from v2,
Tan Compression Socks,8758,11871,27.86,SOLID,"only color+type tokens: ['tan', 'compression', 'socks']",SOLID,unchanged from v2,
Cats Compression Socks,10679,11617,26.49,PATTERN,matched: ['cats'],PATTERN,unchanged from v2,
Celestial Moon Ankle Compression Socks,10625,11550,28.05,PATTERN,"matched: ['celestial', 'moon']",PATTERN,unchanged from v2,
Cherry Blossoms Compression Socks,10972,11543,26.54,PATTERN,"matched: ['cherry', 'blossoms']",PATTERN,unchanged from v2,
Dogs Compression Socks,10347,11206,26.87,PATTERN,matched: ['dogs'],PATTERN,unchanged from v2,
Compression Buy 1 Get 2 Free Mystery Offer,10606,10727,27.24,AMBIGUOUS,mystery — could be either,PATTERN,mystery grab-bag (no explicit theme),yes
EasyStretch™ Socks | Bundle,1624,10540,28.12,AMBIGUOUS,bundle/offer — could be either,SOLID,color + type only,
Purple Moon Ankle Compression Socks,9023,9952,28.2,PATTERN,matched: ['moon'],PATTERN,unchanged from v2,
Royal Purple Compression Socks,8629,9943,26.89,SOLID,"only color+type tokens: ['royal', 'purple', 'compression', 'socks']",SOLID,unchanged from v2,
Snoopy Sox Compression Socks,9161,9924,29.19,PATTERN,matched: ['snoopy'],PATTERN,unchanged from v2,
Cats in Boxes Compression Socks,9193,9731,27.48,PATTERN,matched: ['cats'],PATTERN,unchanged from v2,
Water Lily Compression Socks,9206,9685,27.82,PATTERN,"matched: ['water', 'lily']",PATTERN,unchanged from v2,
EasyStretch Buy 1 Get 2 Free Mystery Offer,9456,9544,28.07,AMBIGUOUS,mystery — could be either,PATTERN,mystery grab-bag (no explicit theme),yes
Tan Ankle Compression Socks,7406,9452,27.58,SOLID,"only color+type tokens: ['tan', 'ankle', 'compression', 'socks']",SOLID,unchanged from v2,
Sunny Days Compression Socks,9035,9386,27.23,PATTERN,matched: ['sunny'],PATTERN,unchanged from v2,
Dogs Ankle Compression Socks,8235,9233,27.01,PATTERN,matched: ['dogs'],PATTERN,unchanged from v2,
Paws n Bones Compression Socks,8312,8827,27.97,PATTERN,"matched: ['paws', 'bones']",PATTERN,unchanged from v2,
